hour_of_day,location_region,risk_score
8,Asia,52.5
15,Asia,52.5
6,Africa,84.375
3,Africa,67.5
3,North America,70.875
16,Africa,52.5
15,Europe,52.5
4,Africa,70.875
21,Africa,52.5
2,Europe,67.5
16,North America,62.5
11,Asia,62.5
23,North America,52.5
12,Africa,50.0
14,North America,52.5
10,Europe,52.5
12,Asia,62.5
0,Africa,84.375
15,North America,62.5
11,Europe,52.5
14,Europe,62.5
10,Europe,52.5
5,North America,67.5
18,North America,52.5
6,South America,67.5
17,North America,50.0
13,Europe,50.0
2,South America,84.375
10,Africa,52.5
15,Asia,52.5
17,Asia,52.5
17,Africa,52.5
0,Europe,70.875
10,North America,62.5
4,Africa,84.375
1,South America,70.875
22,Asia,52.5
21,Asia,52.5
11,Africa,52.5
20,Europe,62.5
2,Europe,84.375
11,Africa,52.5
7,Africa,62.5
0,North America,70.875
17,South America,52.5
20,Europe,62.5
2,Africa,70.875
8,North America,62.5
22,Africa,52.5
12,South America,52.5
8,Asia,50.0
18,Asia,52.5
6,Europe,84.375
13,South America,52.5
6,Africa,70.875
9,Asia,62.5
19,Asia,62.5
18,Asia,52.5
20,North America,62.5
6,North America,70.875
18,Africa,50.0
17,Europe,62.5
8,South America,50.0
17,South America,52.5
8,South America,52.5
9,Africa,62.5
13,Asia,52.5
12,Asia,52.5
18,North America,52.5
23,North America,52.5
2,Africa,67.5
4,Asia,67.5
20,North America,62.5
23,Asia,52.5
21,Europe,52.5
12,Europe,62.5
2,Asia,70.875
4,Africa,70.875
18,South America,52.5
0,South America,70.875
8,Asia,52.5
13,Europe,52.5
22,Europe,62.5
15,Asia,52.5
17,Asia,52.5
9,Africa,52.5
2,Europe,70.875
10,Asia,52.5
10,North America,52.5
17,Europe,52.5
17,Asia,50.0
21,South America,52.5
17,Africa,52.5
16,Europe,52.5
14,Europe,52.5
12,North America,52.5
18,North America,52.5
23,South America,52.5
1,South America,67.5
13,South America,52.5
20,Europe,52.5
19,North America,62.5
0,Asia,70.875
5,North America,67.5
8,Europe,50.0
8,Africa,52.5
7,Europe,52.5
15,Asia,52.5
17,Europe,52.5
11,Europe,52.5
23,Africa,62.5
2,Europe,70.875
8,Europe,52.5
22,Europe,52.5
22,Africa,52.5
20,South America,52.5
2,North America,67.5
23,Africa,52.5
18,Africa,52.5
18,Africa,50.0
14,Africa,62.5
3,Asia,70.875
6,Europe,67.5
21,Asia,52.5
5,Asia,84.375
8,Asia,52.5
23,Europe,52.5
0,Africa,70.875
5,Africa,70.875
10,Asia,62.5
8,Europe,50.0
13,Asia,62.5
3,Europe,70.875
4,North America,84.375
21,South America,62.5
16,Asia,52.5
17,North America,52.5
1,South America,84.375
10,Europe,50.0
9,Europe,52.5
11,North America,62.5
11,North America,52.5
23,North America,52.5
2,South America,70.875
4,Europe,84.375
4,South America,70.875
10,South America,52.5
20,Africa,52.5
14,North America,52.5
5,South America,70.875
2,Africa,67.5
16,Asia,50.0
3,Africa,70.875
1,Asia,84.375
3,Asia,70.875
23,Asia,62.5
8,Asia,52.5
15,North America,52.5
8,South America,62.5
1,Africa,70.875
1,Europe,70.875
10,North America,52.5
1,Asia,70.875
12,Asia,50.0
21,Asia,52.5
6,Europe,70.875
3,Europe,70.875
7,South America,62.5
11,North America,52.5
21,Asia,50.0
19,Africa,52.5
15,North America,50.0
0,Africa,70.875
1,Europe,70.875
16,Africa,62.5
13,Asia,62.5
3,Africa,67.5
8,North America,52.5
15,Asia,50.0
5,North America,70.875
17,North America,50.0
7,Asia,62.5
22,North America,52.5
1,Europe,67.5
1,South America,70.875
13,South America,52.5
10,Africa,50.0
10,Europe,52.5
11,South America,52.5
8,Africa,50.0
12,Asia,50.0
23,North America,62.5
13,North America,52.5
16,Europe,52.5
23,Africa,52.5
14,North America,50.0
1,South America,70.875
15,Europe,52.5
1,Europe,70.875
5,South America,67.5
1,Europe,70.875
7,Asia,52.5
19,South America,50.0
5,Europe,70.875
16,Asia,52.5
14,North America,50.0
5,Europe,70.875
9,North America,52.5
19,Africa,52.5
15,North America,50.0
6,South America,70.875
13,Europe,52.5
11,Europe,50.0
19,North America,50.0
9,North America,62.5
7,North America,52.5
11,Europe,52.5
13,North America,62.5
22,Asia,52.5
4,North America,67.5
15,North America,62.5
7,Africa,50.0
9,North America,52.5
0,Africa,67.5
17,Africa,52.5
12,North America,62.5
11,Europe,52.5
1,South America,70.875
0,Africa,84.375
9,Europe,52.5
10,South America,52.5
19,Africa,52.5
14,Africa,52.5
19,Europe,50.0
2,Asia,70.875
18,Asia,52.5
10,South America,52.5
23,Europe,52.5
2,South America,70.875
4,North America,70.875
18,North America,52.5
5,Asia,84.375
18,North America,52.5
3,Asia,84.375
21,Asia,50.0
19,Europe,52.5
8,North America,52.5
3,Africa,70.875
22,Africa,52.5
15,Europe,52.5
0,Asia,84.375
13,South America,52.5
13,North America,52.5
6,South America,70.875
3,South America,84.375
3,Europe,84.375
17,Asia,52.5
23,South America,52.5
15,North America,52.5
9,Asia,52.5
12,Asia,52.5
3,Europe,70.875
1,South America,70.875
3,South America,84.375
5,North America,70.875
21,Europe,50.0
20,South America,50.0
4,Europe,70.875
9,Europe,52.5
17,Africa,52.5
7,Asia,52.5
10,South America,50.0
20,Asia,50.0
0,Asia,70.875
8,Asia,50.0
19,Africa,50.0
3,South America,70.875
1,Europe,84.375
12,Europe,52.5
3,South America,67.5
9,Europe,50.0
23,North America,50.0
7,Asia,52.5
19,Asia,52.5
0,Europe,70.875
1,Europe,67.5
7,South America,62.5
17,Europe,52.5
5,Europe,70.875
1,South America,70.875
13,South America,52.5
8,Europe,52.5
18,North America,52.5
5,Europe,70.875
3,Asia,84.375
17,Asia,50.0
1,Africa,67.5
5,North America,84.375
0,South America,70.875
13,Africa,62.5
17,Europe,50.0
12,Africa,50.0
18,Europe,52.5
23,South America,52.5
17,North America,52.5
20,Asia,50.0
15,South America,50.0
22,Europe,50.0
17,Europe,50.0
10,South America,62.5
1,North America,67.5
4,North America,70.875
10,Europe,52.5
21,Europe,50.0
19,Africa,62.5
9,South America,50.0
17,Africa,52.5
7,Europe,52.5
17,Asia,52.5
15,Europe,50.0
9,South America,52.5
19,Africa,52.5
5,Africa,67.5
20,South America,50.0
4,Africa,84.375
4,Africa,84.375
10,Africa,62.5
2,Africa,70.875
3,South America,67.5
22,South America,52.5
18,North America,52.5
12,Asia,62.5
8,Africa,52.5
21,Europe,52.5
10,Europe,52.5
17,South America,52.5
16,Africa,52.5
11,Africa,52.5
6,Africa,70.875
17,Africa,50.0
9,South America,52.5
0,Asia,67.5
23,South America,52.5
9,Asia,62.5
10,Asia,62.5
1,South America,67.5
16,Asia,62.5
22,Asia,50.0
5,Asia,84.375
16,South America,62.5
19,Africa,50.0
1,Asia,70.875
14,South America,52.5
7,North America,52.5
16,Europe,50.0
2,South America,70.875
5,South America,84.375
0,South America,67.5
10,North America,52.5
17,North America,52.5
4,Europe,70.875
21,Asia,52.5
0,Africa,70.875
9,Europe,52.5
23,Europe,52.5
2,North America,84.375
20,Asia,52.5
20,Asia,52.5
19,North America,52.5
16,Europe,52.5
3,North America,70.875
21,South America,52.5
7,Asia,52.5
20,Asia,52.5
23,Asia,62.5
6,South America,67.5
5,Africa,70.875
2,Europe,70.875
11,North America,52.5
2,Asia,70.875
2,North America,67.5
10,Africa,50.0
1,North America,70.875
11,Europe,50.0
4,Africa,70.875
21,North America,62.5
1,Africa,84.375
8,Africa,50.0
5,Europe,70.875
1,North America,70.875
4,South America,84.375
17,South America,50.0
10,Asia,52.5
17,Africa,52.5
23,Asia,52.5
3,Asia,67.5
17,Europe,52.5
9,Africa,52.5
16,Africa,52.5
9,North America,52.5
4,North America,70.875
20,Asia,52.5
10,South America,52.5
15,North America,62.5
4,North America,70.875
0,Europe,67.5
5,North America,70.875
7,Europe,52.5
3,South America,70.875
18,Europe,50.0
1,South America,84.375
9,Asia,62.5
14,Asia,50.0
12,Africa,52.5
5,Asia,70.875
5,North America,67.5
3,Europe,70.875
15,North America,52.5
9,South America,62.5
9,Africa,62.5
2,Europe,70.875
19,Europe,62.5
23,Asia,52.5
15,North America,50.0
19,Asia,52.5
16,Asia,52.5
15,North America,50.0
19,Europe,52.5
21,South America,52.5
16,North America,50.0
5,North America,70.875
8,Africa,62.5
5,Africa,67.5
4,North America,84.375
11,Asia,62.5
10,Africa,52.5
0,Asia,84.375
20,Asia,52.5
12,Asia,52.5
6,North America,67.5
15,North America,52.5
0,North America,84.375
23,North America,52.5
0,Europe,67.5
17,North America,52.5
15,South America,52.5
16,Asia,62.5
19,North America,50.0
20,South America,62.5
20,Asia,62.5
17,North America,50.0
7,Africa,52.5
21,North America,52.5
2,Europe,70.875
12,Europe,52.5
22,Asia,52.5
21,Asia,50.0
23,Africa,62.5
6,Africa,70.875
10,Europe,62.5
23,South America,52.5
15,Europe,50.0
20,North America,50.0
6,South America,67.5
11,South America,52.5
22,Africa,52.5
19,North America,50.0
16,North America,62.5
4,Europe,70.875
3,Africa,84.375
4,Europe,70.875
1,Asia,70.875
10,Asia,52.5
22,Asia,52.5
12,North America,52.5
13,Europe,52.5
20,Africa,62.5
6,South America,70.875
3,Asia,70.875
23,South America,52.5
16,Africa,52.5
21,North America,52.5
11,Africa,50.0
18,Asia,62.5
20,Asia,52.5
15,North America,50.0
15,South America,52.5
5,North America,70.875
18,Europe,52.5
14,Europe,52.5
0,Asia,84.375
11,Africa,62.5
3,Europe,70.875
19,Asia,52.5
1,South America,70.875
22,Europe,52.5
4,Europe,70.875
11,Asia,52.5
11,South America,52.5
13,Africa,52.5
6,Asia,70.875
10,Asia,52.5
14,Africa,50.0
3,Europe,67.5
21,South America,52.5
21,Africa,52.5
13,Asia,52.5
19,South America,52.5
17,Asia,62.5
9,Africa,52.5
8,South America,52.5
22,Africa,52.5
21,Asia,52.5
0,South America,84.375
1,Africa,70.875
9,Europe,50.0
15,North America,50.0
16,South America,52.5
2,South America,70.875
13,Asia,52.5
17,Europe,52.5
1,Europe,84.375
7,South America,52.5
11,North America,52.5
22,Europe,52.5
11,Asia,62.5
16,South America,52.5
18,South America,52.5
20,South America,62.5
17,Europe,52.5
14,North America,62.5
19,South America,62.5
4,Asia,70.875
17,North America,52.5
2,Asia,70.875
3,North America,67.5
12,Europe,52.5
17,Asia,62.5
20,Africa,52.5
23,Africa,62.5
22,Europe,52.5
9,Asia,52.5
1,North America,70.875
1,Africa,84.375
1,South America,70.875
12,Asia,50.0
19,Asia,52.5
22,South America,50.0
20,North America,52.5
19,Africa,50.0
8,North America,50.0
7,Asia,52.5
11,South America,50.0
14,Europe,50.0
10,Asia,52.5
17,Asia,50.0
3,Europe,70.875
17,North America,52.5
20,South America,62.5
17,North America,62.5
18,South America,62.5
6,South America,84.375
11,South America,62.5
18,Asia,62.5
4,Europe,84.375
7,South America,62.5
22,Europe,52.5
7,North America,52.5
3,Africa,84.375
16,Asia,50.0
7,Africa,50.0
19,Africa,52.5
8,Africa,52.5
13,Africa,52.5
22,South America,52.5
12,Africa,62.5
8,South America,52.5
4,South America,70.875
15,Asia,50.0
12,North America,52.5
23,Asia,52.5
1,South America,84.375
8,South America,50.0
2,Africa,70.875
8,North America,50.0
15,North America,62.5
18,Asia,52.5
10,South America,52.5
0,Africa,70.875
22,South America,52.5
5,Africa,70.875
19,Europe,50.0
5,North America,70.875
18,Europe,62.5
12,Africa,52.5
10,Europe,62.5
11,Europe,62.5
3,Europe,70.875
15,Europe,50.0
2,Europe,67.5
14,South America,52.5
9,Africa,52.5
11,South America,52.5
11,Africa,52.5
18,Asia,52.5
23,Asia,62.5
22,Africa,52.5
22,Africa,52.5
17,Asia,52.5
0,Europe,70.875
13,South America,52.5
3,Europe,70.875
14,Asia,50.0
19,South America,62.5
1,South America,70.875
4,Europe,84.375
9,Europe,62.5
0,North America,84.375
14,Europe,52.5
23,Asia,52.5
10,North America,50.0
17,Asia,52.5
7,Asia,62.5
19,South America,52.5
7,South America,62.5
9,Europe,52.5
6,North America,84.375
7,South America,62.5
23,North America,52.5
12,South America,50.0
0,South America,70.875
22,Africa,62.5
17,North America,62.5
10,North America,52.5
8,Africa,50.0
12,Asia,52.5
12,Asia,52.5
18,Asia,52.5
5,North America,70.875
20,Europe,62.5
5,Europe,70.875
13,North America,52.5
9,South America,52.5
20,Asia,50.0
23,South America,50.0
14,Africa,52.5
11,Europe,62.5
14,Africa,52.5
3,Europe,70.875
1,Africa,70.875
5,Africa,84.375
15,South America,62.5
2,South America,67.5
14,Africa,52.5
21,North America,52.5
6,South America,70.875
14,Europe,52.5
5,Africa,70.875
20,Asia,52.5
16,North America,52.5
12,Asia,52.5
12,North America,62.5
3,Europe,70.875
8,Africa,52.5
6,North America,67.5
19,North America,52.5
15,North America,52.5
12,Africa,52.5
0,Asia,67.5
20,South America,62.5
16,South America,52.5
19,North America,52.5
12,Asia,52.5
4,Europe,70.875
1,South America,70.875
13,North America,62.5
18,Asia,52.5
7,Europe,62.5
20,South America,52.5
16,Europe,50.0
22,Africa,50.0
9,Asia,52.5
10,Africa,52.5
7,Europe,52.5
15,North America,50.0
19,Africa,62.5
5,Africa,70.875
12,North America,52.5
11,Europe,50.0
18,Asia,52.5
2,Africa,84.375
1,Africa,70.875
20,Europe,62.5
0,North America,70.875
7,Asia,52.5
17,Europe,52.5
19,South America,50.0
7,Europe,52.5
9,Europe,50.0
1,Africa,84.375
17,South America,52.5
15,Europe,62.5
13,Asia,62.5
4,North America,84.375
15,North America,62.5
9,Europe,52.5
4,North America,67.5
20,Europe,52.5
5,Europe,84.375
2,North America,67.5
6,Asia,70.875
0,Africa,84.375
19,Africa,52.5
6,Europe,67.5
3,Asia,70.875
17,Asia,52.5
18,South America,52.5
9,North America,52.5
17,Africa,52.5
6,South America,84.375
2,South America,84.375
18,South America,52.5
0,Asia,70.875
18,South America,52.5
12,Europe,50.0
4,South America,70.875
7,Europe,52.5
1,Europe,70.875
4,Africa,67.5
15,North America,52.5
16,Africa,50.0
16,North America,62.5
18,North America,62.5
1,North America,84.375
0,North America,67.5
9,Europe,50.0
23,Africa,52.5
7,Asia,50.0
3,North America,70.875
10,South America,62.5
15,South America,50.0
21,Africa,62.5
19,North America,52.5
9,Africa,52.5
16,Asia,62.5
22,North America,50.0
11,North America,62.5
0,Europe,67.5
4,South America,70.875
16,Europe,50.0
20,North America,52.5
19,North America,62.5
22,Europe,52.5
1,Africa,67.5
9,South America,52.5
4,South America,70.875
23,Europe,62.5
22,South America,62.5
21,Europe,62.5
21,South America,52.5
9,Africa,52.5
10,North America,62.5
22,South America,62.5
4,Asia,70.875
22,Asia,52.5
10,North America,52.5
10,Africa,62.5
17,Europe,52.5
8,North America,62.5
17,North America,52.5
8,South America,50.0
3,Asia,70.875
14,Europe,50.0
0,Europe,70.875
5,South America,67.5
22,North America,52.5
16,Africa,50.0
5,South America,67.5
5,Europe,84.375
17,Europe,62.5
13,North America,52.5
6,North America,70.875
23,North America,52.5
16,Africa,52.5
15,Europe,50.0
23,Africa,62.5
2,North America,70.875
7,North America,62.5
19,Africa,52.5
0,South America,70.875
12,Asia,52.5
22,North America,62.5
21,Africa,52.5
13,Africa,50.0
1,Africa,70.875
10,Asia,52.5
0,South America,70.875
11,South America,52.5
5,South America,70.875
2,South America,67.5
3,Asia,67.5
6,North America,70.875
1,Europe,70.875
23,Africa,52.5
6,Africa,67.5
8,Asia,50.0
10,Africa,52.5
5,South America,70.875
9,Asia,52.5
1,Asia,67.5
2,Europe,70.875
0,Europe,70.875
12,Africa,52.5
11,Asia,52.5
9,Asia,52.5
7,Asia,52.5
6,South America,70.875
22,South America,52.5
17,Africa,52.5
18,South America,52.5
4,North America,84.375
2,North America,70.875
12,North America,52.5
3,Africa,84.375
0,Asia,70.875
10,South America,52.5
15,South America,62.5
23,North America,62.5
8,North America,52.5
23,Europe,62.5
19,Europe,50.0
7,Europe,50.0
17,Asia,50.0
4,North America,70.875
14,North America,62.5
4,Asia,70.875
14,Asia,52.5
11,Asia,50.0
2,North America,67.5
11,North America,52.5
17,Asia,52.5
22,North America,50.0
23,Asia,62.5
4,North America,67.5
11,Africa,50.0
0,North America,70.875
16,South America,52.5
13,South America,62.5
23,Africa,52.5
6,Europe,84.375
0,Europe,70.875
2,North America,84.375
1,Europe,70.875
11,Europe,50.0
17,North America,50.0
5,Asia,84.375
22,Europe,62.5
5,Europe,70.875
22,South America,50.0
19,Asia,52.5
2,Africa,84.375
18,South America,50.0
6,Africa,70.875
20,Europe,52.5
18,South America,62.5
20,Asia,50.0
9,Asia,52.5
7,North America,50.0
11,South America,52.5
6,North America,67.5
8,Europe,50.0
15,North America,62.5
3,Asia,67.5
10,South America,52.5
3,Asia,67.5
7,Europe,52.5
9,Asia,52.5
0,Asia,67.5
5,Asia,67.5
3,Africa,84.375
10,Europe,52.5
18,North America,52.5
5,North America,70.875
20,North America,52.5
10,Asia,52.5
5,South America,67.5
16,North America,52.5
10,North America,50.0
18,North America,52.5
21,Europe,62.5
3,North America,67.5
10,Asia,62.5
9,North America,52.5
14,Europe,52.5
3,Europe,70.875
20,Asia,52.5
18,Asia,52.5
3,South America,70.875
4,Africa,70.875
20,Asia,62.5
3,Africa,84.375
3,Africa,70.875
16,Asia,50.0
1,Asia,84.375
8,Europe,52.5
9,Africa,62.5
15,South America,52.5
10,North America,62.5
8,Europe,50.0
5,South America,67.5
9,Africa,50.0
5,Africa,67.5
20,North America,52.5
1,South America,84.375
23,Europe,62.5
9,Asia,52.5
9,Africa,62.5
10,North America,50.0
19,North America,62.5
6,Africa,70.875
16,South America,50.0
16,North America,52.5
16,Asia,50.0
5,Europe,70.875
6,Asia,70.875
0,South America,67.5
9,North America,52.5
3,Asia,67.5
7,North America,62.5
7,Europe,52.5
11,North America,50.0
12,Europe,52.5
10,South America,52.5
23,Asia,62.5
18,South America,62.5
4,North America,70.875
9,Asia,52.5
12,South America,50.0
1,Europe,67.5
8,Europe,62.5
13,Africa,50.0
15,North America,52.5
11,Asia,50.0
10,North America,50.0
3,North America,70.875
23,South America,52.5
2,Europe,67.5
14,North America,50.0
22,Europe,62.5
16,Africa,62.5
13,Asia,50.0
11,South America,52.5
10,North America,52.5
0,North America,84.375
22,Africa,50.0
22,North America,52.5
22,Africa,52.5
16,North America,52.5
9,South America,52.5
9,Asia,52.5
0,Europe,84.375
22,Asia,62.5
9,Africa,52.5
17,Europe,52.5
13,Africa,50.0
17,Africa,50.0
8,Africa,62.5
0,South America,67.5
0,North America,70.875
16,Asia,50.0
15,Africa,52.5
18,North America,52.5
23,Africa,52.5
2,Asia,70.875
13,South America,62.5
6,South America,70.875
22,Europe,50.0
16,Asia,50.0
14,Asia,52.5
5,Europe,70.875
23,South America,52.5
15,Africa,62.5
10,Africa,52.5
11,North America,52.5
4,Africa,70.875
4,Asia,84.375
4,Europe,84.375
18,Africa,50.0
11,South America,52.5
1,North America,67.5
21,Asia,52.5
6,South America,70.875
21,Asia,52.5
7,South America,62.5
6,North America,67.5
8,Europe,52.5
8,Europe,52.5
9,Africa,52.5
3,Europe,70.875
7,Europe,52.5
12,Africa,52.5
1,Africa,67.5
17,Europe,50.0
6,North America,70.875
6,South America,70.875
16,North America,52.5
3,Asia,70.875
6,North America,70.875
17,North America,62.5
1,Asia,70.875
10,Africa,52.5
13,Europe,50.0
1,South America,84.375
23,North America,52.5
0,Asia,84.375
13,South America,50.0
15,Asia,50.0
5,North America,70.875
20,North America,62.5
2,Asia,70.875
19,North America,50.0
2,Europe,70.875
6,Europe,70.875
23,Europe,52.5
16,South America,52.5
8,South America,50.0
2,Asia,84.375
2,South America,70.875
8,South America,52.5
13,South America,50.0
22,South America,62.5
11,North America,62.5
22,North America,52.5
13,South America,52.5
22,Africa,52.5
5,Europe,70.875
11,South America,50.0
20,North America,52.5
11,Asia,52.5
9,South America,52.5
17,Asia,62.5
17,Asia,52.5
2,Asia,84.375
6,South America,70.875
16,South America,52.5
3,North America,84.375
14,South America,52.5
20,Africa,50.0
7,Africa,50.0
12,Europe,52.5
7,North America,52.5
14,Africa,52.5
12,North America,62.5
3,Europe,70.875
20,Africa,52.5
13,Europe,52.5
6,South America,70.875
1,Africa,84.375
16,Europe,52.5
3,North America,84.375
4,Asia,70.875
20,Asia,52.5
10,Europe,52.5
12,South America,50.0
2,Europe,67.5
20,Africa,52.5
10,Europe,52.5
12,Europe,52.5
9,Europe,62.5
20,South America,52.5
4,South America,84.375
13,Europe,52.5
8,South America,50.0
4,Europe,70.875
12,North America,52.5
19,Africa,52.5
19,Africa,62.5
22,Africa,62.5
17,North America,52.5
6,South America,70.875
17,Asia,52.5
6,Asia,70.875
20,North America,50.0
8,North America,62.5
10,South America,52.5
10,Asia,52.5
19,Europe,62.5
7,Africa,52.5
20,Africa,52.5
13,Asia,62.5
17,Europe,62.5
15,Europe,52.5
15,Europe,52.5
9,Asia,52.5
4,North America,84.375
10,South America,50.0
1,Asia,70.875
11,Europe,52.5
4,Africa,70.875
14,Asia,52.5
4,Europe,70.875
15,Asia,62.5
10,Europe,52.5
7,Asia,52.5
6,Asia,84.375
11,Africa,52.5
22,Africa,52.5
3,North America,84.375
19,Asia,62.5
11,South America,52.5
2,South America,84.375
4,Asia,84.375
1,North America,70.875
15,Africa,50.0
0,North America,70.875
16,Europe,52.5
21,Europe,52.5
10,South America,62.5
15,Europe,52.5
1,North America,70.875
9,Asia,52.5
5,North America,67.5
15,Africa,52.5
16,South America,52.5
13,North America,62.5
